obj_x,obj_y,lid_x,lid_y,lid_on,table_height,camera_viewpoint,traj_id
0.6,0.6,0.5,0.5,True,1.0,back,1767989378.0
0.8,0.7,0.5,0.5,True,1.0,back,1767989428.0
0.8,0.8,0.5,0.5,True,1.0,back,1767989673.0
0.7,0.7,0.5,0.5,True,1.0,back,1767989992.0
0.9,0.9,0.5,0.5,True,1.0,back,1767990056.0
0.8,0.9,0.5,0.5,True,1.0,back,1767990254.0
0.8,0.6,0.5,0.5,True,1.0,back,1767990685.0
1.0,0.9,0.5,0.5,True,1.0,back,1767990748.0
0.7,0.6,0.5,0.5,True,1.0,back,1767990797.0
0.7,0.6,0.5,0.5,True,1.0,back,1767990852.0
0.8,0.8,1.0,back,1771046843,,,
0.9,0.7,1.0,back,1771047082,,,
0.5,1.0,1.0,back,1771048130,,,
0.9,1.0,1.0,back,1771048183,,,
0.7,0.8,1.0,back,1771048227,,,
0.8,0.6,1.0,back,1771288231,,,
0.6,0.8,1.0,back,1771288290,,,
0.8,0.7,1.0,back,1771288350,,,
0.5,0.9,1.0,back,1771288473,,,
0.8,0.9,1.0,back,1771288530,,,
